,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
394,44,51,227,5,15,0,0,1.912621359223301,36,74,2,59,14,1,4,8,2,4,0,11,36,74,2,59,14,1,4,8,2,4,0,35,141,141,0,30,21,178,13,96,0,10,3,0.05726872246696035,2,2011-03-10 08:50:03,1299747003,5,7,0,27
395,38,74,230,5,15,0,0,1.511111111111111,24,139,2,32,8,8,11,1,0,0,0,10,24,139,2,32,8,8,11,1,0,0,0,17,166,159,7,42,5,173,10,106,2,8,13,0.043478260869565216,1,2011-03-10 08:55:03,1299747303,5,9,0,34
396,84,88,317,5,13,0,0,2.5822784810126582,26,116,5,75,18,11,38,9,2,0,16,10,26,116,5,75,18,11,38,9,2,0,16,12,280,266,14,24,1,224,19,117,2,8,12,0.05993690851735016,2,2011-03-10 09:00:03,1299747603,5,10,0,48
397,161,73,321,6,14,0,0,1.8495297805642634,23,180,0,63,12,10,12,9,4,1,0,12,23,180,0,63,12,10,12,9,4,1,0,17,272,267,5,30,2,241,17,116,1,11,2,0.0529595015576324,2,2011-03-10 09:05:03,1299747903,3,7,0,52
398,51,20,117,3,12,0,0,2.608695652173913,16,46,0,20,3,1,12,3,6,3,0,12,16,46,0,20,3,1,12,3,6,3,0,8,99,93,6,8,2,89,28,85,0,5,2,0.23931623931623933,2,2011-03-10 09:10:03,1299748203,3,8,0,27
399,118,161,393,9,11,0,0,1.7058823529411764,26,223,0,64,26,35,7,8,1,1,0,8,26,223,0,64,26,35,7,8,1,1,0,7,360,341,19,24,2,296,19,132,1,11,3,0.04834605597964377,2,2011-03-10 09:15:03,1299748503,3,7,0,65
400,57,61,221,7,14,0,0,2.511520737327189,23,40,0,82,34,13,14,3,0,0,0,15,23,40,0,82,34,13,14,3,0,0,0,18,153,148,5,46,4,174,6,79,1,8,14,0.027149321266968326,2,2011-03-10 09:20:03,1299748803,4,7,0,16
401,110,117,409,3,12,0,0,1.488997555012225,147,84,0,103,26,23,19,1,0,6,0,8,147,84,0,103,26,23,19,1,0,6,0,9,361,224,137,39,0,303,9,106,0,12,139,0.022004889975550123,1,2011-03-10 09:25:03,1299749103,3,6,0,29
402,77,62,266,4,12,0,0,2.3909774436090228,33,90,0,55,36,11,18,6,2,9,0,12,33,90,0,55,36,11,18,6,2,9,0,13,241,221,20,12,0,185,20,109,0,18,38,0.07518796992481203,3,2011-03-10 09:30:03,1299749403,4,8,0,34
403,134,51,447,4,15,0,0,1.494407158836689,144,149,0,68,31,19,17,13,2,1,2,11,144,149,0,68,31,19,17,13,2,1,2,6,425,288,137,16,0,407,33,126,0,11,146,0.0738255033557047,2,2011-03-10 09:35:03,1299749703,4,9,0,40
404,43,114,362,8,14,0,0,1.547486033519553,36,154,0,134,17,7,7,3,0,0,0,6,36,154,0,134,17,7,7,3,0,0,0,28,280,273,7,50,4,335,8,88,1,16,9,0.022099447513812154,2,2011-03-10 09:40:03,1299750003,6,8,0,46
405,65,67,219,5,14,0,0,2.7788018433179724,16,45,0,84,26,2,20,3,11,1,2,12,16,45,0,84,26,2,20,3,11,1,2,8,195,192,3,14,2,186,9,74,0,12,10,0.0410958904109589,2,2011-03-10 09:45:03,1299750303,4,7,0,17
406,44,61,197,4,14,0,0,1.8615384615384616,15,93,0,34,26,20,4,1,0,0,2,9,15,93,0,34,26,20,4,1,0,0,2,10,158,153,5,27,2,158,15,80,0,10,22,0.07614213197969544,2,2011-03-10 09:50:03,1299750603,4,9,0,24
407,42,45,161,5,9,0,0,2.0869565217391304,31,39,0,33,20,28,7,1,0,0,2,9,31,39,0,33,20,28,7,1,0,0,2,27,120,117,3,14,0,106,14,84,0,8,7,0.08695652173913043,3,2011-03-10 09:55:03,1299750903,4,6,0,59
408,129,89,323,5,13,0,0,1.95,29,77,0,159,19,21,8,3,2,2,0,8,29,77,0,159,19,21,8,3,2,2,0,12,291,277,14,17,3,204,7,130,2,9,14,0.021671826625386997,2,2011-03-10 10:00:03,1299751203,5,12,0,49
409,36,34,140,3,14,0,0,2.3065693430656933,10,55,2,30,21,1,6,4,4,4,0,10,10,55,2,30,21,1,6,4,4,4,0,5,118,113,5,14,3,106,9,74,2,10,26,0.06428571428571428,2,2011-03-10 10:05:03,1299751503,3,11,0,55
410,261,151,797,4,11,0,0,1.5579896907216495,46,408,0,243,55,2,9,6,2,2,1,11,46,408,0,243,55,2,9,6,2,2,1,24,729,707,22,23,21,639,8,173,15,12,23,0.010037641154328732,2,2011-03-10 10:10:03,1299751803,4,7,0,46
411,23,82,159,4,11,0,0,2.1548387096774193,29,50,1,39,15,2,8,4,1,0,0,12,29,50,1,39,15,2,8,4,1,0,0,11,110,92,18,34,4,130,7,78,2,12,13,0.0440251572327044,2,2011-03-10 10:15:03,1299752103,4,7,0,28
412,106,71,479,6,12,0,0,1.506276150627615,24,305,0,122,9,0,7,1,1,1,0,11,24,305,0,122,9,0,7,1,1,1,0,9,453,440,13,16,1,413,5,67,1,9,4,0.010438413361169102,1,2011-03-10 10:20:03,1299752403,6,7,0,58
413,56,106,236,3,15,0,0,2.217948717948718,17,66,2,98,14,22,3,1,2,9,0,10,17,66,2,98,14,22,3,1,2,9,0,7,210,200,10,17,2,165,14,100,0,5,1,0.059322033898305086,2,2011-03-10 10:25:03,1299752703,3,10,0,63
414,53,43,172,4,14,0,0,2.691860465116279,30,43,14,45,10,18,1,5,2,1,1,11,30,43,14,45,10,18,1,5,2,1,1,27,111,110,1,34,0,141,18,79,1,5,3,0.10465116279069768,2,2011-03-10 10:30:03,1299753003,4,6,0,15
415,77,59,204,4,11,0,0,1.932642487046632,25,56,0,69,17,13,7,3,2,0,1,9,25,56,0,69,17,13,7,3,2,0,1,4,179,160,19,10,11,145,4,84,0,10,1,0.0196078431372549,1,2011-03-10 10:35:03,1299753303,4,7,0,45
416,34,191,591,3,11,0,0,1.3305084745762712,62,362,0,129,7,14,14,0,1,0,0,11,62,362,0,129,7,14,14,0,1,0,0,49,491,479,12,50,1,537,5,82,3,15,5,0.008460236886632826,2,2011-03-10 10:40:03,1299753603,3,8,0,43
417,63,37,185,3,12,0,0,2.277173913043478,35,44,0,49,14,11,8,16,1,6,0,8,35,44,0,49,14,11,8,16,1,6,0,20,149,135,14,15,1,134,15,89,0,8,1,0.08108108108108109,4,2011-03-10 10:45:03,1299753903,3,6,0,44
418,34,83,197,4,11,0,0,1.9123711340206186,19,84,0,48,17,12,5,2,1,6,0,8,19,84,0,48,17,12,5,2,1,6,0,7,148,137,11,39,3,157,8,90,0,8,2,0.04060913705583756,2,2011-03-10 10:50:03,1299754203,4,8,0,31
419,62,33,219,5,14,0,0,2.3692307692307693,43,51,0,47,5,15,13,1,4,11,0,11,43,51,0,47,5,15,13,1,4,11,0,14,158,134,24,23,24,159,10,96,0,11,1,0.045662100456621,2,2011-03-10 10:55:03,1299754503,4,9,0,42
420,75,46,254,4,16,0,0,2.2920353982300883,22,79,0,67,16,16,7,2,2,11,0,11,22,79,0,67,16,16,7,2,2,11,0,5,193,176,17,28,28,201,11,102,0,8,6,0.04330708661417323,2,2011-03-10 11:00:03,1299754803,4,8,0,57
421,75,66,181,15,15,0,0,2.2849162011173183,15,50,1,46,24,33,7,3,0,0,0,10,15,50,1,46,24,33,7,3,0,0,0,8,150,143,7,21,2,124,9,81,0,10,3,0.049723756906077346,2,2011-03-10 11:05:03,1299755103,6,6,0,43
422,44,55,170,4,14,0,0,2.2095808383233533,17,82,2,18,4,28,3,9,2,0,0,12,17,82,2,18,4,28,3,9,2,0,0,13,138,134,4,16,3,122,9,81,0,5,4,0.052941176470588235,1,2011-03-10 11:10:03,1299755403,4,8,0,12
423,69,46,207,5,15,0,0,1.9611650485436893,19,89,0,40,15,29,10,4,0,0,0,6,19,89,0,40,15,29,10,4,0,0,0,8,184,173,11,14,1,146,8,93,1,8,2,0.03864734299516908,2,2011-03-10 11:15:03,1299755703,5,8,0,63
424,40,53,173,3,16,0,0,2.2325581395348837,29,61,0,43,5,17,6,3,0,0,0,14,29,61,0,43,5,17,6,3,0,0,0,9,125,105,20,38,1,120,2,72,0,13,1,0.011560693641618497,1,2011-03-10 11:20:03,1299756003,3,7,0,30
425,43,40,137,8,9,0,0,2.0076335877862594,14,49,0,24,16,23,4,1,0,0,0,6,14,49,0,24,16,23,4,1,0,0,0,11,103,101,2,17,6,93,8,66,1,10,4,0.058394160583941604,1,2011-03-10 11:25:03,1299756303,3,7,0,23
426,54,77,256,6,14,0,0,1.4933920704845816,64,61,0,68,9,11,13,1,0,0,0,6,64,61,0,68,9,11,13,1,0,0,0,5,204,146,58,18,29,173,7,62,0,13,0,0.02734375,2,2011-03-10 11:30:03,1299756603,6,10,0,42
427,57,49,511,7,9,0,0,1.280392156862745,70,334,1,61,9,23,8,0,4,0,0,10,70,334,1,61,9,23,8,0,4,0,0,7,489,429,60,14,1,386,5,68,0,23,1,0.009784735812133072,2,2011-03-10 11:35:03,1299756903,4,8,0,44
428,80,64,302,3,10,0,0,1.8933333333333333,50,128,0,37,17,25,43,0,0,0,0,5,50,128,0,37,17,25,43,0,0,0,0,4,270,226,44,26,2,205,8,62,0,15,2,0.026490066225165563,2,2011-03-10 11:40:03,1299757203,3,7,0,18
429,38,41,417,4,11,0,0,1.2307692307692308,32,317,0,24,34,0,9,0,0,0,0,5,32,317,0,24,34,0,9,0,0,0,0,29,362,359,3,25,1,358,7,76,0,9,0,0.016786570743405275,1,2011-03-10 11:45:03,1299757503,4,10,0,36
430,27,31,90,3,9,0,0,2.1818181818181817,7,24,0,28,13,7,9,0,0,0,0,5,7,24,0,28,13,7,9,0,0,0,0,3,74,71,3,11,2,73,7,55,1,9,2,0.07777777777777778,1,2011-03-10 11:50:03,1299757803,3,7,0,24
431,35,285,660,9,10,0,0,2.1200607902735564,13,202,0,157,269,13,4,0,0,0,0,5,13,202,0,157,269,13,4,0,0,0,0,11,626,626,0,21,2,536,12,103,0,7,127,0.01818181818181818,2,2011-03-10 11:55:03,1299758103,3,8,0,16
432,247,235,787,5,12,0,0,1.762086513994911,12,291,2,437,11,16,8,2,5,2,0,10,12,291,2,437,11,16,8,2,5,2,0,6,756,754,2,24,1,480,27,260,1,21,48,0.03430749682337993,2,2011-03-10 12:00:03,1299758403,5,9,0,32
433,310,53,801,5,14,0,0,2.174185463659148,13,288,2,202,201,70,12,4,2,0,2,12,13,288,2,202,201,70,12,4,2,0,2,9,767,766,1,22,3,602,9,163,3,21,167,0.011235955056179775,2,2011-03-10 12:05:03,1299758703,5,10,0,69
434,35,27,115,7,11,0,0,2.1130434782608694,17,38,0,22,8,19,5,6,0,0,0,6,17,38,0,22,8,19,5,6,0,0,0,16,90,90,0,9,0,80,5,61,0,7,0,0.043478260869565216,2,2011-03-10 12:10:03,1299759003,6,6,0,19
435,124,74,308,3,15,0,0,1.8990228013029316,8,128,0,133,9,20,2,1,0,0,0,11,8,128,0,133,9,20,2,1,0,0,0,7,282,281,1,18,1,208,3,74,0,10,2,0.00974025974025974,1,2011-03-10 12:15:03,1299759303,3,8,0,94
436,61,122,338,3,13,0,0,1.9404761904761905,67,97,0,51,88,5,15,6,4,1,0,11,67,97,0,51,88,5,15,6,4,1,0,64,204,203,1,68,2,283,7,92,1,8,5,0.020710059171597635,2,2011-03-10 12:20:03,1299759603,3,9,0,43
437,249,216,560,5,11,0,0,2.6247755834829443,45,64,0,182,43,215,5,1,2,0,0,7,45,64,0,182,43,215,5,1,2,0,0,21,525,502,23,11,3,517,18,104,2,12,171,0.03214285714285714,2,2011-03-10 12:25:03,1299759903,5,10,0,20
438,59,52,262,9,16,0,0,1.6513409961685823,30,127,0,57,27,10,5,2,0,1,0,12,30,127,0,57,27,10,5,2,0,1,0,7,237,215,22,17,1,190,8,70,0,6,3,0.030534351145038167,1,2011-03-10 12:30:03,1299760203,9,9,0,30
439,55,196,300,4,9,0,0,1.9469964664310955,7,65,0,176,21,3,7,4,0,0,0,6,7,65,0,176,21,3,7,4,0,0,0,4,266,264,2,13,17,276,8,96,0,7,1,0.02666666666666667,2,2011-03-10 12:35:03,1299760503,4,7,0,14
440,74,71,199,4,11,0,0,2.11734693877551,20,63,0,36,56,4,7,9,1,0,0,7,20,63,0,36,56,4,7,9,1,0,0,17,171,169,2,8,3,154,20,91,0,7,2,0.10050251256281408,2,2011-03-10 12:40:03,1299760803,4,9,0,26
441,48,49,151,5,10,0,0,2.778523489932886,11,48,0,40,1,3,7,37,2,0,0,7,11,48,0,40,1,3,7,37,2,0,0,10,121,120,1,18,2,90,3,69,0,4,5,0.019867549668874173,1,2011-03-10 12:45:03,1299761103,5,9,0,33
442,60,21,132,6,11,0,0,1.83206106870229,12,54,0,46,4,1,8,5,0,1,0,8,12,54,0,46,4,1,8,5,0,1,0,11,111,111,0,9,1,105,13,62,0,1,0,0.09848484848484848,2,2011-03-10 12:50:03,1299761403,6,7,0,42
443,84,29,188,5,11,0,0,2.2459893048128343,9,79,0,28,24,34,6,4,1,2,0,8,9,79,0,28,24,34,6,4,1,2,0,9,165,165,0,13,1,156,4,65,0,11,3,0.02127659574468085,2,2011-03-10 12:55:03,1299761703,5,7,0,55
444,45,82,291,6,28,0,0,2.1785714285714284,31,129,0,34,18,49,13,1,2,0,0,26,31,129,0,34,18,49,13,1,2,0,0,23,237,233,4,20,11,236,6,86,0,9,2,0.020618556701030927,1,2011-03-10 13:00:03,1299762003,3,6,0,34
445,27,22,96,6,12,0,0,2.9444444444444446,7,42,0,14,2,7,11,2,1,0,1,26,7,42,0,14,2,7,11,2,1,0,1,5,77,75,2,8,6,68,8,53,1,15,3,0.08333333333333333,2,2011-03-10 13:05:03,1299762303,3,9,0,26
446,30,34,106,3,13,0,0,2.0943396226415096,11,42,0,20,19,4,6,1,1,0,0,12,11,42,0,20,19,4,6,1,1,0,0,9,78,77,1,19,0,89,7,50,0,6,0,0.0660377358490566,2,2011-03-10 13:10:03,1299762603,3,8,0,14
447,37,33,142,4,8,0,0,1.7304964539007093,14,66,0,30,19,1,9,2,0,0,0,6,14,66,0,30,19,1,9,2,0,0,0,12,114,112,2,15,1,94,10,79,0,4,5,0.07042253521126761,1,2011-03-10 13:15:03,1299762903,3,7,0,34
448,43,183,539,5,8,0,0,2.314928425357873,13,65,0,205,186,3,15,2,0,0,0,6,13,65,0,205,186,3,15,2,0,0,0,12,468,468,0,9,50,513,6,77,0,7,192,0.011131725417439703,1,2011-03-10 13:20:03,1299763203,4,8,0,15
449,55,92,270,3,14,0,0,1.9664179104477613,75,76,0,43,9,14,43,1,4,0,1,12,75,76,0,43,9,14,43,1,4,0,1,70,176,175,1,22,2,212,11,81,0,6,0,0.040740740740740744,2,2011-03-10 13:25:03,1299763503,3,7,0,87
450,26,21,76,4,13,0,0,2.6986301369863015,5,28,0,12,3,11,5,3,3,2,0,12,5,28,0,12,3,11,5,3,3,2,0,3,58,57,1,12,3,52,4,48,0,9,0,0.05263157894736842,2,2011-03-10 13:30:03,1299763803,4,6,0,93
451,101,40,240,7,11,0,0,2.2016806722689077,2,118,0,61,15,5,12,18,6,0,1,9,2,118,0,61,15,5,12,18,6,0,1,1,219,219,0,18,2,189,4,95,0,5,3,0.016666666666666666,1,2011-03-10 13:35:03,1299764103,5,9,0,24
452,126,114,336,7,15,0,0,3.435820895522388,8,123,0,57,21,3,8,11,102,1,0,11,8,123,0,57,21,3,8,11,102,1,0,7,289,288,1,39,1,201,10,115,0,8,32,0.02976190476190476,2,2011-03-10 13:40:03,1299764403,4,7,0,56
453,66,66,182,3,11,0,0,2.1043956043956045,8,51,0,85,19,4,6,5,3,1,0,8,8,51,0,85,19,4,6,5,3,1,0,6,161,161,0,15,0,108,8,87,0,2,0,0.04395604395604396,2,2011-03-10 13:45:03,1299764703,3,8,0,13
454,42,76,164,3,9,0,0,2.8404907975460123,14,55,0,16,11,7,52,3,4,0,1,9,14,55,0,16,11,7,52,3,4,0,1,7,139,133,6,17,1,122,7,85,0,7,4,0.042682926829268296,2,2011-03-10 13:50:03,1299765003,3,7,0,20
455,90,56,204,5,17,0,0,2.0689655172413794,11,92,0,44,19,28,6,0,0,0,0,15,11,92,0,44,19,28,6,0,0,0,0,11,181,181,0,11,1,123,7,71,0,3,2,0.03431372549019608,2,2011-03-10 13:55:03,1299765303,4,7,0,45
456,55,38,126,7,12,0,0,2.2063492063492065,8,58,0,18,10,17,11,2,1,0,0,12,8,58,0,18,10,17,11,2,1,0,0,6,89,88,1,31,0,103,9,75,0,2,1,0.07142857142857142,3,2011-03-10 14:00:03,1299765603,5,9,0,44
457,79,54,243,3,15,0,0,1.9586776859504131,6,114,0,85,19,1,2,10,1,0,0,13,6,114,0,85,19,1,2,10,1,0,0,6,220,220,0,16,1,208,4,78,0,11,0,0.01646090534979424,2,2011-03-10 14:05:03,1299765903,3,8,0,61
458,43,104,239,7,11,0,0,2.30672268907563,31,73,0,45,28,30,5,25,1,0,0,7,31,73,0,45,28,30,5,25,1,0,0,30,174,174,0,34,1,192,9,90,0,11,5,0.03765690376569038,3,2011-03-10 14:10:03,1299766203,5,7,0,48
459,55,49,205,5,13,0,0,2.01010101010101,18,86,0,43,4,38,2,5,0,0,0,11,18,86,0,43,4,38,2,5,0,0,0,6,164,163,1,28,7,128,8,81,0,13,18,0.03902439024390244,3,2011-03-10 14:15:03,1299766503,4,8,0,49
460,57,90,275,4,10,0,0,2.260377358490566,22,97,0,86,12,19,4,1,0,24,0,8,22,97,0,86,12,19,4,1,0,24,0,17,200,197,3,48,10,224,8,86,0,14,6,0.02909090909090909,1,2011-03-10 14:20:03,1299766803,4,7,0,18
461,53,26,134,4,13,0,0,1.7076923076923076,10,77,2,16,15,2,8,0,0,0,0,10,10,77,2,16,15,2,8,0,0,0,0,7,110,107,3,13,4,93,11,68,0,9,5,0.08208955223880597,2,2011-03-10 14:25:03,1299767103,4,9,0,54
462,149,132,377,8,13,0,0,2.3653333333333335,11,115,1,171,13,19,16,0,24,2,0,15,11,115,1,171,13,19,16,0,24,2,0,7,324,322,2,44,2,249,6,120,0,17,3,0.015915119363395226,1,2011-03-10 14:30:03,1299767403,4,8,0,83
463,42,57,154,17,17,0,0,2.5657894736842106,19,57,1,18,16,21,11,1,0,1,0,15,19,57,1,18,16,21,11,1,0,1,0,15,110,110,0,27,2,112,3,75,0,6,2,0.01948051948051948,1,2011-03-10 14:35:03,1299767703,5,7,0,15
464,37,48,152,5,9,0,0,1.986206896551724,11,77,0,15,11,22,6,1,0,0,0,12,11,77,0,15,11,22,6,1,0,0,0,8,118,118,0,19,7,98,10,75,0,11,3,0.06578947368421052,3,2011-03-10 14:40:03,1299768003,5,7,0,47
465,73,47,278,2,13,0,0,1.5772058823529411,13,217,0,14,6,3,9,3,0,0,1,15,13,217,0,14,6,3,9,3,0,0,1,11,253,253,0,8,6,222,9,68,0,12,1,0.03237410071942446,3,2011-03-10 14:45:03,1299768303,2,8,0,70
466,106,63,244,6,14,0,0,1.5102880658436213,12,160,0,45,1,16,6,1,2,0,0,7,12,160,0,45,1,16,6,1,2,0,0,4,232,225,7,7,1,161,4,60,0,8,0,0.01639344262295082,1,2011-03-10 14:50:03,1299768603,6,8,0,48
467,46,74,186,7,14,0,0,2.453551912568306,15,97,14,19,2,27,5,0,0,3,0,11,15,97,14,19,2,27,5,0,0,3,0,11,134,131,3,38,3,141,6,71,0,11,0,0.03225806451612903,2,2011-03-10 14:55:03,1299768903,5,7,0,17
468,62,135,303,6,11,0,0,1.7508305647840532,31,85,0,146,19,8,11,1,0,0,0,6,31,85,0,146,19,8,11,1,0,0,0,12,210,208,2,79,2,232,10,73,0,12,4,0.033003300330033,2,2011-03-10 15:00:03,1299769203,6,9,0,30
469,88,58,311,3,14,0,0,1.4657980456026058,6,222,0,56,5,3,11,2,0,0,0,11,6,222,0,56,5,3,11,2,0,0,0,4,292,292,0,11,4,208,8,99,0,7,2,0.02572347266881029,2,2011-03-10 15:05:03,1299769503,3,10,0,26
470,53,37,155,5,10,0,0,1.368421052631579,10,110,0,18,4,2,6,2,0,0,0,6,10,110,0,18,4,2,6,2,0,0,0,7,135,134,1,10,3,110,3,55,0,7,3,0.01935483870967742,1,2011-03-10 15:10:03,1299769803,5,6,0,14
471,37,29,415,5,11,0,0,1.2276029055690072,15,343,0,30,6,12,6,0,0,1,0,8,15,343,0,30,6,12,6,0,0,1,0,13,387,385,2,13,2,176,20,104,0,9,8,0.04819277108433735,2,2011-03-10 15:15:03,1299770103,4,7,0,31
472,42,59,236,7,16,0,0,1.6866952789699572,11,150,0,23,31,7,5,3,0,0,0,11,11,150,0,23,31,7,5,3,0,0,0,7,195,192,3,31,3,177,11,77,0,9,3,0.046610169491525424,2,2011-03-10 15:20:03,1299770403,5,6,0,19
473,37,285,918,5,14,0,0,1.420937840785169,15,600,2,279,2,4,9,1,0,1,0,11,15,600,2,279,2,4,9,1,0,1,0,12,891,889,2,14,1,873,55,202,0,11,231,0.05991285403050109,2,2011-03-10 15:25:03,1299770703,4,7,0,26
474,198,80,333,3,14,0,0,3.199395770392749,12,94,0,33,10,131,35,1,0,1,5,13,12,94,0,33,10,131,35,1,0,1,5,7,301,301,0,23,2,286,8,97,0,12,106,0.024024024024024024,1,2011-03-10 15:30:03,1299771003,3,9,0,42
475,406,243,903,7,13,0,0,2.8765294771968852,7,123,0,178,303,269,12,1,1,0,3,11,7,123,0,178,303,269,12,1,1,0,3,6,839,839,0,54,4,741,10,115,0,11,328,0.01107419712070875,1,2011-03-10 15:35:03,1299771303,4,8,0,44
476,138,65,427,6,12,0,0,2.1014150943396226,66,151,0,43,53,83,13,10,2,3,0,8,66,151,0,43,53,83,13,10,2,3,0,42,343,338,5,39,3,339,9,99,0,16,10,0.02107728337236534,3,2011-03-10 15:40:03,1299771603,3,7,0,70
477,44,393,613,8,14,0,0,2.9508196721311477,11,26,0,149,250,158,12,2,0,0,0,11,11,26,0,149,250,158,12,2,0,0,0,5,601,596,5,4,3,556,5,73,2,15,238,0.008156606851549755,2,2011-03-10 15:45:03,1299771903,6,6,0,20
478,28,29,95,4,19,0,0,1.9565217391304348,12,38,3,27,7,0,4,0,0,0,0,17,12,38,3,27,7,0,4,0,0,0,0,10,65,63,2,17,3,63,11,49,0,6,0,0.11578947368421053,2,2011-03-10 15:50:03,1299772203,4,6,0,24
479,270,161,472,5,12,0,0,3.491489361702128,12,50,0,28,13,354,9,3,0,0,0,17,12,50,0,28,13,354,9,3,0,0,0,11,443,443,0,16,2,197,8,76,0,12,300,0.01694915254237288,2,2011-03-10 15:55:03,1299772503,5,7,0,29
480,265,32,595,5,14,0,0,2.5868465430016863,11,75,0,223,176,87,8,5,3,3,0,11,11,75,0,223,176,87,8,5,3,3,0,8,566,566,0,19,2,492,6,76,1,16,128,0.010084033613445379,2,2011-03-10 16:00:03,1299772803,5,7,0,21
481,21,403,640,3,11,0,0,2.911392405063291,8,59,2,150,255,141,9,0,0,0,1,12,8,59,2,150,255,141,9,0,0,0,1,6,613,611,2,13,8,588,8,93,0,13,231,0.0125,2,2011-03-10 16:05:03,1299773103,3,6,0,29
482,68,30,194,2,14,0,0,2.7578947368421054,20,57,0,39,19,29,5,6,1,3,2,12,20,57,0,39,19,29,5,6,1,3,2,17,163,163,0,10,4,136,10,71,0,5,0,0.05154639175257732,1,2011-03-10 16:10:03,1299773403,2,7,0,22
483,23,28,107,5,14,0,0,2.303030303030303,16,38,0,10,7,15,8,0,1,0,1,11,16,38,0,10,7,15,8,0,1,0,1,10,86,80,6,3,8,67,8,59,0,9,4,0.07476635514018691,2,2011-03-10 16:15:03,1299773703,5,7,0,22
484,18,25,65,3,14,0,0,1.935483870967742,10,25,0,14,8,0,2,0,0,0,0,11,10,25,0,14,8,0,2,0,0,0,0,10,41,41,0,11,3,48,5,40,0,4,0,0.07692307692307693,2,2011-03-10 16:20:03,1299774003,3,7,0,21
485,36,24,121,7,14,0,0,1.809090909090909,4,71,0,14,8,1,10,0,0,0,0,11,4,71,0,14,8,1,10,0,0,0,0,4,98,98,0,8,11,89,1,59,0,11,0,0.008264462809917356,1,2011-03-10 16:25:03,1299774303,5,7,0,17
486,31,37,171,7,14,0,0,2.0,29,48,0,43,10,13,14,0,2,0,0,11,29,48,0,43,10,13,14,0,2,0,0,24,122,117,5,15,10,104,15,96,0,7,4,0.08771929824561403,2,2011-03-10 16:30:03,1299774603,5,7,0,36
487,55,23,109,7,14,0,0,2.2476190476190476,5,42,0,32,5,4,13,0,1,2,0,11,5,42,0,32,5,4,13,0,1,2,0,3,93,91,2,9,4,81,9,67,0,7,0,0.08256880733944955,2,2011-03-10 16:35:03,1299774903,7,7,0,38
488,20,54,139,4,10,0,0,1.583941605839416,24,58,0,32,7,6,10,0,0,0,0,5,24,58,0,32,7,6,10,0,0,0,0,23,85,85,0,29,2,104,3,62,0,8,0,0.02158273381294964,1,2011-03-10 16:40:03,1299775203,4,7,0,23
489,140,58,256,3,14,0,0,2.4484126984126986,8,80,0,94,17,9,5,36,3,0,0,7,8,80,0,94,17,9,5,36,3,0,0,7,220,220,0,25,4,191,11,71,0,7,7,0.04296875,2,2011-03-10 16:45:03,1299775503,3,6,0,39
490,87,29,193,5,9,0,0,1.8541666666666667,7,87,0,63,7,19,8,1,0,0,0,6,7,87,0,63,7,19,8,1,0,0,0,6,180,180,0,6,1,130,4,62,0,2,0,0.02072538860103627,1,2011-03-10 16:50:03,1299775803,5,8,0,48
491,33,23,88,5,10,0,0,2.0930232558139537,6,32,0,24,8,4,12,0,0,0,0,5,6,32,0,24,8,4,12,0,0,0,0,4,57,56,1,25,2,63,3,51,0,7,3,0.03409090909090909,1,2011-03-10 16:55:03,1299776103,5,7,0,15
492,29,22,123,3,17,0,0,3.1322314049586777,9,31,0,14,23,0,37,0,4,1,0,15,9,31,0,14,23,0,37,0,4,1,0,9,105,105,0,7,2,106,6,55,0,8,2,0.04878048780487805,1,2011-03-10 17:00:03,1299776403,3,7,0,25
493,72,42,147,7,15,0,0,2.404109589041096,9,33,0,57,6,31,6,0,0,4,0,8,9,33,0,57,6,31,6,0,0,4,0,8,127,126,1,11,1,121,15,63,1,6,2,0.10204081632653061,2,2011-03-10 17:05:03,1299776703,5,7,0,45
494,62,49,187,6,12,0,0,1.8121546961325967,7,112,0,31,5,6,10,5,5,0,0,7,7,112,0,31,5,6,10,5,5,0,0,5,151,149,2,25,6,133,7,69,0,15,2,0.0374331550802139,2,2011-03-10 17:10:03,1299777003,5,7,0,41
495,161,138,365,3,19,0,0,3.0401146131805157,9,82,0,103,5,47,79,16,3,3,0,17,9,82,0,103,5,47,79,16,3,3,0,7,253,251,2,89,16,237,4,86,0,12,1,0.010958904109589041,1,2011-03-10 17:15:03,1299777303,3,6,0,105
496,47,175,285,3,13,0,0,2.862676056338028,13,74,0,48,4,120,12,1,11,1,0,8,13,74,0,48,4,120,12,1,11,1,0,7,225,220,5,52,1,252,9,74,3,8,3,0.031578947368421054,2,2011-03-10 17:20:03,1299777603,3,7,0,20
