,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,1007,1082,4061,6,18,0,193,2.0966947960618847,339,1130,27,535,293,268,105,82,29,15,17,13,339,1130,27,535,293,268,105,82,29,15,17,100,2091,2057,34,460,1061,1217,150,1447,3,126,4,0.04898758981058132,3,2003-01-23 00:00:08,1043280008,6,11,48,851
1,1168,1041,5538,3,20,0,265,1.9526601520086861,617,1705,11,1219,429,252,124,89,79,42,20,17,617,1705,11,1219,429,252,124,89,79,42,20,245,3388,3310,78,707,834,1268,339,1979,8,141,15,0.06121343445287107,5,2003-01-23 02:00:08,1043287208,3,10,7,1080
2,1207,1439,5707,5,21,0,250,2.5821647677475896,427,1588,28,950,473,303,296,164,103,122,43,17,427,1588,28,950,473,303,296,164,103,122,43,115,3534,3491,43,665,1014,1639,331,2162,13,192,52,0.057998948659540916,5,2003-01-23 04:00:08,1043294408,5,10,22,879
3,1404,1778,7348,5,23,0,472,2.0596414196853274,787,1884,2,1201,740,270,235,185,56,47,41,20,787,1884,2,1201,740,270,235,185,56,47,41,247,3773,3712,61,974,1579,2743,386,2283,3,170,20,0.05253130103429505,4,2003-01-23 06:00:08,1043301608,5,11,76,1394
4,2149,3555,13385,5,19,0,992,1.933181299885975,1464,4201,52,770,785,574,344,190,219,92,19,14,1464,4201,52,770,785,574,344,190,219,92,19,371,5917,5828,89,1490,3335,5488,845,3791,13,241,45,0.06313036981695928,4,2003-01-23 08:00:08,1043308808,5,11,73,2702
5,2998,2835,11800,5,18,0,1469,1.910949800633882,2251,3329,56,1747,812,648,357,179,195,65,61,15,2251,3329,56,1747,812,648,357,179,195,65,61,570,6704,6517,187,1038,1756,4617,446,3760,12,190,83,0.037796610169491526,3,2003-01-23 10:00:08,1043316008,5,13,55,1648
6,1086,1395,5157,5,29,0,383,2.114816579323487,630,1441,9,762,690,235,151,155,40,45,13,27,630,1441,9,762,690,235,151,155,40,45,13,180,3170,3112,58,465,868,1796,180,1776,0,177,23,0.034904013961605584,3,2003-01-23 12:00:08,1043323208,5,11,37,659
7,1781,1806,7228,5,16,0,632,2.058255659121172,938,2010,20,1455,632,356,148,230,70,95,32,13,938,2010,20,1455,632,356,148,230,70,95,32,218,4546,4460,86,612,926,2546,244,2388,0,234,18,0.033757609297177645,3,2003-01-23 14:00:08,1043330408,4,11,10,1031
8,1751,1927,8121,8,21,0,594,1.9383418138281951,1078,2188,11,1834,713,295,241,105,95,87,9,17,1078,2188,11,1834,713,295,241,105,95,87,9,239,4959,4732,227,890,1258,2396,220,2268,12,273,21,0.027090259820219186,4,2003-01-23 16:00:08,1043337608,8,10,39,1194
9,2353,2050,8102,5,17,0,378,2.246192538773229,906,2087,35,2123,644,493,344,204,131,138,30,14,906,2087,35,2123,644,493,344,204,131,138,30,317,5553,5364,189,909,722,1964,174,2582,16,318,32,0.02147617872130338,2,2003-01-23 18:00:08,1043344808,5,10,74,1414
10,2823,2795,9751,8,20,0,694,1.875761406734858,980,3630,64,2354,624,472,283,130,57,55,26,17,980,3630,64,2354,624,472,283,130,57,55,26,228,7074,7019,55,705,922,2101,133,2387,24,342,37,0.013639626704953339,2,2003-01-23 20:00:08,1043352008,6,11,13,961
11,2634,3024,10028,8,17,0,1192,1.7918585966791645,1661,3736,18,2035,585,576,331,170,68,45,45,14,1661,3736,18,2035,585,576,331,170,68,45,45,219,7189,6948,241,735,581,2254,137,2402,21,306,39,0.013661747108097328,2,2003-01-23 22:00:08,1043359208,5,11,8,1027
